mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	29	men							
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	30	con-							
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	31	for-							
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	32								
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	33	6							
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	34								
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	35								
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	36								
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	37								
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	38	tans,							
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	39								
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	40								
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	41	quid							
9	9	33	33	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	42	e-							
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	43	nim							
9	9	34	34	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	44	ca-							
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	45	ni-							
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	46								
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	47								
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	48	tur							
10	10	37	37	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	49	su-							1
10	10	149/4	149/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	50								1
10	10	75/2	75/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	51								1
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	52								
10	10	38	38	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	53	a-							
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	54	vi-							
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	55	us,							
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	56								
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	57								
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	58								
11	11	41	41	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	59	quid							
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	60	au-							
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	61	di-							
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	62								
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	63								
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	64								
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	65	tur							
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	66	ju-							
12	12	46	46	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	67	cun-							
12	12	187/4	187/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	68	di-							
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	69	us,							
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	70								
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	71								
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	72								
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	73	quid							
13	13	49	49	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	74	co-							
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	75	gi-							
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	76	ta-							
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	77								
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	78								
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	79								
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	80								
14	14	52	52	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	81								
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	82	tur							
14	14	54	54	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	83	dul-							
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	84	ci-							
14	14	55	55	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	85	us,							
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	86								
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	87								
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	88								
15	15	57	57	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	89	quam							2
15	15	229/4	229/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	90								2
15	15	115/2	115/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	91								2
15	15	231/4	231/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	92								
15	15	58	58	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	93	Je-							
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	94	sus,							
15	15	56	56	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	95								
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	96								
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	97								
16	16	61	61	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	98	quam							3
16	16	245/4	245/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	99								3
16	16	123/2	123/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	100								3
16	16	247/4	247/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	101								
16	16	62	62	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	102	Je-							
16	16	63	63	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	103	sus,							
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	104								
16	16	62	62	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	105								
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	106								
17	17	65	65	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	107	quam							4
17	17	261/4	261/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	108								4
17	17	131/2	131/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	109								4
17	17	263/4	263/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	110								
17	17	66	66	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	111	Je-							
17	17	67	67	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	112	sus,							
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	113								
17	17	66	66	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	114								
17	17	67	67	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	115								
18	18	69	69	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	116	De-							
18	18	71	71	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	117	i							
18	18	68	68	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	118								
18	18	69	69	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	119								
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	120								
19	19	72	72	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	121	fi-							
19	19	75	75	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	122	li-							
19	19	72	72	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	123	4							
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	124								
20	20	76	76	4.0	0	0	Chord	4/4	1	1	1	1	1	125	us.							
20	20	76	76	4.0	0	0	Chord	4/4	2	1	1	1	1	126								
21	21	81	81	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	127	O							
21	21	82	82	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	128	no-							
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	129	men							
21	21	80	80	4.0	0	0	Chord	4/4	2	1	1	1	1	130								
22	22	84	84	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	131	Je-							
22	22	86	86	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	132	su,							
22	22	84	84	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	133								
22	22	85	85	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	134								
22	22	86	86	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	135								
22	22	87	87	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	136								
23	23	89	89	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	137	o							
23	23	90	90	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	138	no-							
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	139	men							
23	23	88	88	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	140	5							
23	23	89	89	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	141	6							
23	23	90	90	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	142								
24	24	92	92	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	143	Je-							
24	24	94	94	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	144	su.							
24	24	92	92	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	145								
24	24	93	93	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	146								
24	24	94	94	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	147	6							
24	24	95	95	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	148								
25	25	97	97	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	149	ve-							
25	25	197/2	197/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	150	rus							
25	25	99	99	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	151	a-							
25	25	96	96	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	152								
25	25	98	98	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	153	7							
25	25	99	99	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	154	6							
26	26	100	100	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	155								
26	26	201/2	201/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	156	ni-							
26	26	101	101	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	157	mae							5
26	26	405/4	405/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	158								5
26	26	203/2	203/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	159								5
26	26	407/4	407/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	160								
26	26	102	102	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	161	ci-							
26	26	100	100	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	162								
26	26	101	101	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	163	4							
26	26	103	103	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	164								
27	27	104	104	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	165	bus,							
27	27	107	107	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	166	ve-							
27	27	104	104	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	167								
27	27	106	106	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	168								
28	28	108	108	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	169								
28	28	217/2	217/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	170	rus							
28	28	109	109	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	171	a-							
28	28	221/2	221/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	172	ni-							
28	28	111	111	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	173	mae							
28	28	108	108	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	174	9							
28	28	109	109	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	175	8							
28	28	110	110	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	176								
29	29	112	112	4.0	0	0	Chord	4/4	1	1	1	1	1	177	ci-							
29	29	112	112	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	178								
29	29	114	114	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	179								
30	30	116	116	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	180	bus,							
30	30	235/2	235/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	181	in							
30	30	118	118	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	182	o-							
30	30	119	119	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	183	re							
30	30	116	116	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	184								
30	30	118	118	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	185								
31	31	120	120	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	186	mel,							
31	31	243/2	243/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	187	in							
31	31	122	122	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	188	au-							
31	31	123	123	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	189	re							
31	31	120	120	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	190								
31	31	122	122	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	191								
32	32	124	124	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	192	me-							
32	32	125	125	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	193	los,							
32	32	251/2	251/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	194	in							
32	32	126	126	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	195	cor-							
32	32	127	127	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	196	de							
32	32	255/2	255/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	197	lae-							
32	32	124	124	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	198								
32	32	126	126	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	199								
33	33	128	128	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	200	ti-							
33	33	129	129	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	201	ti-							
33	33	259/2	259/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	202	a							
33	33	130	130	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	203	me-							
33	33	263/2	263/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	204	a,							6
33	33	128	128	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	205	6							
33	33	129	129	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	206	5							
33	33	130	130	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	207	4							
33	33	131	131	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	208								
34	34	132	132	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	209								
34	34	135	135	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	210	in							7
34	34	271/2	271/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	211								
34	34	132	132	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	212								
34	34	134	134	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	213								
35	35	136	136	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	214	o-							8
35	35	273/2	273/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	215								
35	35	137	137	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	216	re							9
35	35	275/2	275/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	217								
35	35	138	138	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	218	mel,							
35	35	139	139	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	219	in							10
35	35	279/2	279/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	220								
35	35	136	136	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	221								
35	35	138	138	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	222								
36	36	140	140	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	223	au-							11
36	36	281/2	281/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	224								
36	36	141	141	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	225	re							12
36	36	283/2	283/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	226								
36	36	142	142	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	227	me-							
36	36	143	143	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	228	los,							
36	36	287/2	287/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	229	in							
36	36	140	140	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	230								
36	36	142	142	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	231								
37	37	144	144	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	232	cor-							13
37	37	289/2	289/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	233								
37	37	145	145	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	234	de							14
37	37	291/2	291/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	235								
37	37	146	146	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	236	lae-							15
37	37	585/4	585/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	237								15
37	37	293/2	293/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	238								15
37	37	587/4	587/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	239								15
37	37	147	147	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	240								15
37	37	589/4	589/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	241								15
37	37	295/2	295/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	242								15
37	37	591/4	591/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	243								
37	37	144	144	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	244								
37	37	146	146	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	245								
38	38	148	148	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	246	ti-							
38	38	149	149	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	247	ti-							
38	38	299/2	299/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	248	a							
38	38	150	150	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	249	me-							
38	38	303/2	303/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	250	a.							16
38	38	148	148	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	251								
38	38	149	149	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	252								
38	38	150	150	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	253	4							
38	38	151	151	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	254	`							
39	39	152	152	4.0	0	0	Chord	4/4	1	1	1	1	1	255								
39	39	152	152	4.0	0	0	Chord	4/4	2	1	1	1	1	256								
40	40	156	156	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	257	Tu-							
40	40	157	157	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	258	um							
40	40	158	158	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	259	i-							
40	40	159	159	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	260	ta-							
40	40	319/2	319/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	261	que							
40	40	156	156	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	262								
40	40	158	158	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	263								
41	41	160	160	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	264	no-							
41	41	161	161	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	265	men,							
41	41	323/2	323/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	266	dul-							
41	41	162	162	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	267	cis-							
41	41	163	163	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	268	si-							
41	41	327/2	327/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	269	me							
41	41	160	160	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	270								
41	41	162	162	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	271	6							
42	42	164	164	4.0	0	0	Chord	4/4	1	1	1	1	1	272	Je-							17
42	42	164	164	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	273								
42	42	166	166	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	274								
43	43	168	168	4.0	0	0	Chord	4/4	1	1	1	1	1	275								
43	43	168	168	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	276								
43	43	170	170	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	277								
44	44	172	172	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	278	su,							
44	44	175	175	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	279	in							
44	44	351/2	351/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	280	ae-							
44	44	172	172	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	281								
44	44	174	174	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	282								
45	45	176	176	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	283	ter-							
45	45	177	177	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	284	num							
45	45	357/2	357/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	285	in							
45	45	179	179	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	286	o-							
45	45	359/2	359/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	287	re							
45	45	176	176	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	288								
45	45	177	177	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	289								
45	45	355/2	355/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	290								
45	45	178	178	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	291								
46	46	180	180	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	292	me-							
46	46	181	181	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	293	o							
